"VariableName","Value","ValueLabel"
"Secondary school GPA (ADM2021)","1","Required"
"Secondary school GPA (ADM2021)","5","Considered but not required"
"Secondary school GPA (ADM2021)","2","Recommended"
"Secondary school rank (ADM2021)","1","Required"
"Secondary school rank (ADM2021)","5","Considered but not required"
"Secondary school rank (ADM2021)","2","Recommended"
"Secondary school rank (ADM2021)","3","Neither required nor recommended"
"Secondary school record (ADM2021)","1","Required"
"Completion of college-preparatory program (ADM2021)","1","Required"
"Completion of college-preparatory program (ADM2021)","5","Considered but not required"
"Completion of college-preparatory program (ADM2021)","2","Recommended"
"Completion of college-preparatory program (ADM2021)","3","Neither required nor recommended"
"Recommendations (ADM2021)","1","Required"
"Admission test scores (ADM2021)","1","Required"
"Admission test scores (ADM2021)","5","Considered but not required"
"Member of National Athletic Association (IC2021)","1","Yes"
"Member of National Collegiate Athletic Association (NCAA) (IC2021)","1","Yes"
"Secondary school GPA (ADM2020_RV)","1","Required"
"Secondary school GPA (ADM2020_RV)","5","Considered but not required"
"Secondary school GPA (ADM2020_RV)","2","Recommended"
"Secondary school rank (ADM2020_RV)","1","Required"
"Secondary school rank (ADM2020_RV)","5","Considered but not required"
"Secondary school rank (ADM2020_RV)","2","Recommended"
"Secondary school rank (ADM2020_RV)","3","Neither required nor recommended"
"Secondary school record (ADM2020_RV)","1","Required"
"Completion of college-preparatory program (ADM2020_RV)","1","Required"
"Completion of college-preparatory program (ADM2020_RV)","5","Considered but not required"
"Completion of college-preparatory program (ADM2020_RV)","2","Recommended"
"Completion of college-preparatory program (ADM2020_RV)","3","Neither required nor recommended"
"Recommendations (ADM2020_RV)","1","Required"
"Admission test scores (ADM2020_RV)","1","Required"
"Admission test scores (ADM2020_RV)","5","Considered but not required"
"Member of National Athletic Association (IC2020)","1","Yes"
"Member of National Collegiate Athletic Association (NCAA) (IC2020)","1","Yes"
"Secondary school GPA (ADM2019_RV)","1","Required"
"Secondary school GPA (ADM2019_RV)","5","Considered but not required"
"Secondary school GPA (ADM2019_RV)","2","Recommended"
"Secondary school rank (ADM2019_RV)","1","Required"
"Secondary school rank (ADM2019_RV)","5","Considered but not required"
"Secondary school rank (ADM2019_RV)","2","Recommended"
"Secondary school rank (ADM2019_RV)","3","Neither required nor recommended"
"Secondary school record (ADM2019_RV)","1","Required"
"Completion of college-preparatory program (ADM2019_RV)","1","Required"
"Completion of college-preparatory program (ADM2019_RV)","5","Considered but not required"
"Completion of college-preparatory program (ADM2019_RV)","2","Recommended"
"Completion of college-preparatory program (ADM2019_RV)","3","Neither required nor recommended"
"Recommendations (ADM2019_RV)","1","Required"
"Admission test scores (ADM2019_RV)","1","Required"
"Admission test scores (ADM2019_RV)","5","Considered but not required"
"Member of National Athletic Association (IC2019)","1","Yes"
"Member of National Collegiate Athletic Association (NCAA) (IC2019)","1","Yes"
"Secondary school GPA (ADM2018_RV)","1","Required"
"Secondary school GPA (ADM2018_RV)","5","Considered but not required"
"Secondary school GPA (ADM2018_RV)","2","Recommended"
"Secondary school rank (ADM2018_RV)","1","Required"
"Secondary school rank (ADM2018_RV)","5","Considered but not required"
"Secondary school rank (ADM2018_RV)","2","Recommended"
"Secondary school rank (ADM2018_RV)","3","Neither required nor recommended"
"Secondary school record (ADM2018_RV)","1","Required"
"Completion of college-preparatory program (ADM2018_RV)","1","Required"
"Completion of college-preparatory program (ADM2018_RV)","5","Considered but not required"
"Completion of college-preparatory program (ADM2018_RV)","2","Recommended"
"Completion of college-preparatory program (ADM2018_RV)","3","Neither required nor recommended"
"Recommendations (ADM2018_RV)","1","Required"
"Admission test scores (ADM2018_RV)","1","Required"
"Admission test scores (ADM2018_RV)","5","Considered but not required"
"Member of National Athletic Association (IC2018)","1","Yes"
"Member of National Collegiate Athletic Association (NCAA) (IC2018)","1","Yes"
